Phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
2.318181818181818,1740.0138371446883,0.17573690203447967,8.923437368301185e-05,5.789701046711484e-10,7.33127093809444e-11,1.4448136646405502e-06,0.04978884127035128,4.8629804266871866e-14,2.9724496676264203e-13,1.3853534088862706e-17,9.559747270619144e-17,4.696725699683867e-14,1.6351537526159577e-15,8.645941059980486e-11,8.416677745140017e-09,0.2090179944515898,0.016555560169476936,1.3279666730735398e-08,1.5586329275943423e-08,8.138842572908683e-14,8.291316898958476e-16,8.806569395708414e-13,5.1819785444650905e-18,1.5180961956634234e-12,3.0560038621659396e-17,9.646098875270174e-15,2.8013393322929975e-19,3.078995844121611e-18,3.538726842576616e-15,9.881436292033013e-13,1.319432363625374e-16,9.026321604947103e-12,6.663490131070031e-11,2.3992324187700898e-09,1.844383154489914e-06,9.673912534440136e-11,5.272153310732557e-08,2.826961181947558e-15,2.5692085324138737e-12,5.307729430419022e-12,2.6989385593002422e-12,5.411121109196223e-07,1.9591514969724467e-13,2.0145796256534505e-19,1.8473101330200706e-16,3.599317339143854e-11,5.7141212579951604e-08,7.19163483460404e-12,0.5488074868778582,0.0,2.5960486268720107e-28,2.761643692587702e-27,1.0328027752327302e-17,2.6257561988973324e-16
2.3454545454545452,1726.39979523918,0.17948905019710798,7.973580274083918e-05,4.1046942521449057e-10,4.8644092032332916e-11,1.1653808159405806e-06,0.04749134075438472,3.2461341186181984e-14,2.175955211325618e-13,1.0902008764672863e-17,8.136205871450924e-17,4.530441147934662e-14,1.5460051681531813e-15,9.648755019495316e-11,1.0728344041301552e-08,0.21115982692066215,0.015863632034660718,1.2490621122890729e-08,1.6116186458191425e-08,8.077665709998164e-14,8.09974428740749e-16,9.814676871696443e-13,5.220244694987258e-18,1.860556040720539e-12,3.65509734063457e-17,1.3367022835583122e-14,3.790025759262416e-19,4.70741565977678e-18,3.594962423085791e-15,1.1480703313075266e-12,1.42696393406777e-16,6.93297575857581e-12,5.5292005474517804e-11,2.20726135227264e-09,1.957243463597045e-06,8.49586393586057e-11,4.0748879711224344e-08,1.8354147410697497e-15,1.9851666972687524e-12,4.117374566098221e-12,2.4725706764617374e-12,5.921548173076156e-07,2.0378304223334e-13,1.8304090783628454e-19,1.607936050973838e-16,3.472956239736043e-11,5.83073025395666e-08,6.325060469189065e-12,0.5459125581557452,0.0,4.223697914584526e-28,5.082179681905279e-27,1.168903137389573e-17,3.338265388778303e-16
2.3727272727272726,1712.868404800643,0.18320406109731868,7.114290645024016e-05,2.898857445484668e-10,3.21126815429946e-11,9.371144489247505e-07,0.04521517582600306,2.155105630649944e-14,1.5850097837116935e-13,8.56165898315084e-18,6.912704426223389e-17,4.365872427763059e-14,1.4600408373051516e-15,1.0768500805798637e-10,1.3688354375165914e-08,0.21327637567697355,0.015181670740682735,1.1732915471493977e-08,1.6650629075690175e-08,8.003962788914173e-14,7.89875265365258e-16,1.0928324959157587e-12,5.259772639704197e-18,2.2840843461216407e-12,4.376045663482628e-17,1.8561035995530514e-14,5.134782557996973e-19,7.212773129610676e-18,3.650982922230852e-15,1.3346828095285816e-12,1.543152793054266e-16,5.311855995690843e-12,4.577972925229402e-11,2.0273914747198182e-09,2.0756893103338503e-06,7.44942006974167e-11,3.140055717049062e-08,1.1854346448888189e-15,1.5294125062163016e-12,3.18327691097061e-12,2.2639107691488166e-12,6.4850609376145e-07,2.119357890927715e-13,1.661452681066382e-19,1.3968037310020964e-16,3.3476063577058203e-11,5.947000710499694e-08,5.554696613855546e-12,0.5430477768663337,0.0,6.890021446520924e-28,9.384854150167585e-27,1.3228451142914656e-17,4.2469275346098883e-16
2.4,1699.4184376978994,0.1868815335522012,6.338166604092437e-05,2.038894443788339e-10,2.1083404657559506e-11,7.511065206883401e-07,0.04296103420901519,1.4224481189832453e-14,1.148419279397876e-13,6.71079640266556e-18,5.864013454040096e-17,4.2040901401935e-14,1.3775406251003859e-15,1.2021697784305396e-10,1.748692519817632e-08,0.21536904854878958,0.014508513767494657,1.1006718646443217e-08,1.7189625753343808e-08,7.918441636246063e-14,7.689594133131436e-16,1.2158308480245038e-12,5.30255530094981e-18,2.809887987876115e-12,5.246714370966971e-17,2.583780964364807e-14,6.969636904323996e-19,1.1081223313599526e-17,3.707508085948168e-15,1.552934524896188e-12,1.6690672890886523e-16,4.059481881629344e-12,3.7820330282193294e-11,1.8592075115857643e-09,2.2000055575650873e-06,6.521423584256631e-11,2.4119050974437044e-08,7.613259929047902e-16,1.1745994871340673e-12,2.452355571112516e-12,2.072028474556366e-12,7.1090843534712e-07,2.2042866761912103e-13,1.5068843656860938e-19,1.210985933149081e-16,3.2235361093768484e-11,6.062980856390299e-08,4.870904164492535e-12,0.5402126934434363,0.0,1.1277248008120647e-27,1.7402917331206146e-26,1.4973254890553397e-17,5.40801634443775e-16
2.4272727272727272,1686.0486649775441,0.1905211029599177,5.6382664764863765e-05,1.4278264922038686e-10,1.3760252035491904e-11,5.999296988536057e-07,0.04072955844323493,9.329943254823486e-15,8.27325963239124e-14,5.250756709497276e-18,4.9675319108637866e-17,4.0460939624705344e-14,1.2987337358200117e-15,1.3428018345309248e-10,2.2374003119574834e-08,0.2174391946020174,0.01384305183087291,1.0312022595749434e-08,1.7733154966731822e-08,7.821819205231154e-14,7.47347639466682e-16,1.3516572481310425e-12,5.350852603385674e-18,3.4655421714230447e-12,6.302549769194335e-17,3.607549446431408e-14,9.48257899223682e-19,1.7079433401307902e-17,3.76536910178966e-15,1.8088625637420332e-12,1.805984314887457e-16,3.094367838919503e-12,3.117515955515555e-11,1.7022661273227585e-09,2.3304951648458808e-06,5.6998334340025255e-11,1.8462143716481194e-08,4.859768907102901e-16,8.990642219144712e-13,1.8821329902617924e-12,1.8959940142524263e-12,7.802471966952382e-07,2.293285920757377e-13,1.365864748211127e-19,1.0477996656744253e-16,3.1009882267699636e-11,6.178719769287848e-08,4.2648789866557565e-12,0.5374068660271912,0.0,1.853407265486482e-27,3.243236282228651e-26,1.6955656045898882e-17,6.895072197148245e-16
2.4545454545454546,1672.7578554845825,0.19412243570244778,5.008098404892603e-05,9.952873935885262e-11,8.923088442451926e-12,4.774011645890633e-07,0.03852135178429074,6.0783084766199766e-15,5.923235792070047e-14,4.1018323789986814e-18,4.2031248247578815e-17,3.8928235164890124e-14,1.2238052530717052e-15,1.5011077903109344e-10,2.8679767175266027e-08,0.21948810996865994,0.013184223160815483,9.64866201016617e-09,1.8281204635291852e-08,7.714817368070975e-14,7.251558896298145e-16,1.5016343484125384e-12,5.407265747931928e-18,4.287228403602493e-12,7.589072574859931e-17,5.0548567073188794e-14,1.2939284433332676e-18,2.642489790103887e-17,3.825532849229407e-15,2.109874737978506e-12,1.9554415649467883e-16,2.3524960603144407e-12,2.5639673948394735e-11,1.5561030674008427e-09,2.467480429796771e-06,4.973656573938797e-11,1.4079582841054048e-08,3.081716235257533e-16,6.856688647892107e-13,1.43868709051349e-12,1.7348901369938912e-12,8.575863878129111e-07,2.3871683418976587e-13,1.2375550339735699e-19,9.047949006418999e-17,2.980181169503846e-11,6.294267375618033e-08,3.728596449860166e-12,0.5346298603617039,0.0,3.0611403541927767e-27,6.079546755679496e-26,1.921443354446093e-17,8.804704930612415e-16
2.4818181818181815,1659.5447747014543,0.1976852240245434,4.4416073186949634e-05,6.903665182064298e-11,5.745952901861497e-12,3.783828388707504e-07,0.036336983535226214,3.931035517002886e-15,4.2122959095441825e-14,3.199856022576381e-18,3.5529468628374114e-17,3.7451723831394215e-14,1.1529031448681083e-15,1.6799474415497475e-10,3.6842972907943204e-08,0.2215170432332562,0.012531008201366368,9.016332648450124e-09,1.88337717514542e-08,7.598159083238904e-14,7.024949885952936e-16,1.6672276868781434e-12,5.4748408599757545e-18,5.322898251810074e-12,9.165358271634011e-17,7.112245618053976e-14,1.7718415967547817e-18,4.1066262162171453e-17,3.889134465953229e-15,2.4651293947560413e-12,2.1193062645602247e-16,1.7836900592288833e-12,2.103899806629061e-11,1.4202395054463208e-09,2.611304330602874e-06,4.332879940008696e-11,1.0694398210209312e-08,1.9402381480740267e-16,5.20876170209556e-13,1.0949870781465372e-12,1.5878226668308807e-12,9.442157801891498e-07,2.486926135193099e-13,1.1211289229284583e-19,7.797421675653924e-17,2.8613104977779306e-11,6.409674461491535e-08,3.2547572335286895e-12,0.5318812497710692,0.0,5.085529841370046e-27,1.1473882984401497e-25,2.1796669197936383e-17,1.1264577988832987e-15
2.5090909090909093,1646.4081836267528,0.2012091812569635,3.933159818017448e-05,4.763411212685215e-11,3.671885358187522e-12,2.9861254330047325e-07,0.03417699410780965,2.5221908344166878e-15,2.9736808676409145e-14,2.4933463085923685e-18,3.0012591972405126e-17,3.60400599298077e-14,1.0861458272538445e-15,1.8828174330847744e-10,4.7450537310024965e-08,0.22352720034811854,0.01188242477197632,8.414608355563297e-09,1.9390862041060045e-08,7.472564914159781e-14,6.794704073244381e-16,1.850062254413066e-12,5.557214239878217e-18,6.636813357152075e-12,1.110896955051436e-16,1.0055368358356096e-13,2.4364861429403908e-18,6.415007370306851e-17,3.957521381759085e-15,2.8860442535692417e-12,2.2998667617122063e-16,1.348716014920339e-12,1.7223989967062462e-11,1.294187645706831e-09,2.762331979299834e-06,3.768403482044507e-11,8.08794979068493e-09,1.2120576629369984e-16,3.940106169551731e-13,8.295428670522461e-13,1.4539299810596524e-12,1.0417137148180207e-06,2.5937789412252183e-13,1.015782806227053e-19,6.706194369836957e-17,2.7445502014001674e-11,6.524992693219666e-08,2.8367348182736243e-12,0.5291606150299547,0.0,8.50689894056962e-27,2.182490545071269e-25,2.4760064756992358e-17,1.4444507484576822e-15
2.536363636363636,1633.3468379758963,0.20469403741305311,3.4775274866853757e-05,3.2680743814159174e-11,2.3269020514176225e-12,2.345614246761179e-07,0.03204189954152747,1.604283913048199e-15,2.082489980305864e-14,1.941136512106994e-18,2.534245609983258e-17,3.470184655189668e-14,1.0236305067293838e-15,2.1140387709923657e-10,6.129345685886932e-08,0.22551974920231066,0.011237523533583317,7.842956842650053e-09,1.995248964893455e-08,7.33874988687069e-14,6.561820917024492e-16,2.0519411324568047e-12,5.6588181002661285e-18,8.316169443279872e-12,1.352306615907579e-16,1.4295946407694448e-13,3.367122733119484e-18,1.0080809776891282e-16,4.0323135351709765e-15,3.3869877476273227e-12,2.499956414721472e-16,1.0169710186406472e-12,1.4067766399128749e-11,1.1774556377788761e-09,2.9209521938065102e-06,3.271974881314469e-11,6.087967913552647e-09,7.507190227433402e-17,2.9666849952706734e-13,6.25310608841018e-13,1.3323918450456607e-12,1.1520320844959656e-06,2.7092388691514705e-13,9.20744608701717e-20,5.755986377324893e-17,2.6300539865178156e-11,6.64027464575965e-08,2.468524990240717e-12,0.5264675443923352,0.0,1.4344557744275366e-26,4.189001139333165e-25,2.81760775218833e-17,1.8572070921466607e-15
2.5636363636363635,1620.359487496972,0.20813953499357196,3.069869048459193e-05,2.2284560570949467e-11,1.4610346186616544e-12,1.8331367473255055e-07,0.02993219586392513,1.0107688134076475e-15,1.4455444308753278e-14,1.510413940974927e-18,2.139832354381681e-17,3.344593591634147e-14,9.65442639375065e-16,2.3790146265453805e-10,7.944682155281183e-08,0.22749582377481928,0.010595383843137698,7.300754264307355e-09,2.051867684212217e-08,7.197420661745679e-14,6.327243460564947e-16,2.2748664817879576e-12,5.785175939411843e-18,1.048094068928682e-11,1.6546847340463584e-16,2.0456447088819357e-13,4.680469064670547e-18,1.595049480528626e-16,4.115486744415234e-15,3.986233082892528e-12,2.7231238764816183e-16,7.646435573910444e-13,1.1462644482569015e-11,1.0695518526368107e-09,3.0875791995077055e-06,2.8361264171541603e-11,4.558994390646815e-09,4.6062464691145736e-17,2.222472723728318e-13,4.688071548493993e-13,1.222438091172443e-12,1.2776131777124567e-06,2.8352000053373813e-13,8.3528165553975e-20,4.930320820650464e-17,2.51795651579724e-11,6.755573837389545e-08,2.1446975757115706e-12,0.5238016335286387,0.0,2.4414891278236923e-26,8.124010116284217e-25,3.213423231628856e-17,2.3954846456623718e-15
2.590909090909091,1607.4448756531813,0.21154542499101064,2.705711746031838e-05,1.509472316376491e-11,9.08038965987817e-13,1.4246516437617317e-07,0.027848363114525338,6.301750194241774e-16,9.936267314475018e-15,1.1751068764440377e-18,1.8075153206219214e-17,3.228183025474631e-14,9.116670964024016e-16,2.684591229813235e-10,1.0338599688017853e-07,0.22945652794583726,0.009955109884607771,6.787298660709333e-09,2.108945372027406e-08,7.049273005745146e-14,6.09185766420385e-16,2.5210631975892592e-12,5.943334381202628e-18,1.3298814944001258e-11,2.0371213663669276e-16,2.9491034916335634e-13,6.550822299787837e-18,2.5438342790107003e-16,4.2094900126711474e-15,4.707298088766611e-12,2.9738714333371865e-16,5.7325315414937e-13,9.317458998821274e-12,9.699885738557615e-10,3.2626544691100995e-06,2.4541143540920988e-11,3.3947493057697046e-09,2.797041263424337e-17,1.6557034221953638e-13,3.493947568725553e-13,1.123357837079081e-12,1.4215532527884832e-06,2.974063848196077e-13,7.587080563962973e-20,4.21439022350994e-17,2.4083746039762013e-11,6.870944768342466e-08,1.8603505680798585e-12,0.5211624855690188,0.0,4.200848254415906e-26,1.5944469189828779e-24,3.6748158737604146e-17,3.1012573398745347e-15
2.618181818181818,1594.601739676741,0.21491146292998073,2.3809322515869766e-05,1.015044118948141e-11,5.579526978009255e-13,1.1003811767608401e-07,0.025790869290267922,3.883288300761788e-16,6.755549978011699e-15,9.145635616409134e-19,1.5281971533805947e-17,3.122023115890889e-14,8.624019699837035e-16,3.0395733456657775e-10,1.3515817086075166e-07,0.23140293891336508,0.009315827128078014,6.301822314003711e-09,2.1664857918560922e-08,6.894989545078773e-14,5.856492180055982e-16,2.7930055920491576e-12,6.142508134502816e-18,1.7008383824158196e-11,2.5262815458958245e-16,4.2885601875650534e-13,9.242671581562717e-18,4.0942435009134897e-16,4.317413628081058e-15,5.580864248818357e-12,3.2579953827803613e-16,4.284937372142579e-13,7.555216727687649e-12,8.782851523800935e-10,3.446648710210403e-06,2.1198611060373258e-11,2.5120418610375343e-09,1.678873522234381e-17,1.2258823657560865e-13,2.587043073922648e-13,1.0345102001275085e-12,1.5878361829610538e-06,3.1289185938174013e-13,6.903922329579879e-20,3.59492512916432e-17,2.3014083676756314e-11,6.986442960604246e-08,1.611066738126903e-12,0.5185497111170426,0.0,7.320063866300717e-26,3.1726745718940486e-24,4.216421562650468e-17,4.0324456414078425e-15
